སྐུལ་བ་,བསྐུལ༼ད༽་བ་,བསྐུལ་བ་,སྐུལ༼ད༽་,,,GT,
སྐུལ་བ་,བསྐུལ་བ་,བསྐུལ་བ་,སྐུལ་,TDC,PH,,KN
སྐེམ་པ་,བསྐམས་པ་,བསྐམ་པ་,སྐོམས་,,,,KN
སྐེམ་པ་,བསྐམས་པ་,བསྐམ་པ་,སྐོམས་,TDC,PH,,
སྐེམ་པ་༼སྐམ་པ་༽,བསྐམས་པ་,བསྐམ་པ་,སྐེམས་༼སྐམས་༽,,,GT,
སྐོ་བ་,བསྐོས་པ་,བསྐོ་བ་,སྐོས་,TDC,PH,GT,KN
སྐོང་བ་,བསྐངས་པ་,བསྐང་བ་,སྐོངས་,,,,KN
སྐོང་བ་,བསྐངས་པ་,བསྐང་བ་,སྐོངས་,TDC,PH,GT,
སྐོང་བ་,བསྐོངས་པ་,བསྐོང་བ་,སྐོངས་,TDC,PH,,
སྐོན་པ་,བསྐོན༼ད༽་པ་,བསྐོན་པ་,སྐོན༼ད༽་,,,GT,
སྐོན་པ་,བསྐོན་པ་,སྐོན་པ་,སྐོན་,,,,KN
སྐོན་པ་,བསྐོན་པ་,བསྐོན་པ་,སྐོན་,TDC,PH,,
སྐོམ་པ་,སྐོམས་པ་,སྐོམ་པ་,,TDC,PH,,
སྐོར་བ་,བསྐོར༼ད༽་བ་,བསྐོར་བ་,སྐོར༼ད༽་,,,GT,
སྐོར་བ་,བསྐོར་བ་,སྐོར་བ་,སྐོར་,,,,KN
སྐོར་བ་,བསྐོར་བ་,བསྐོར་བ་,སྐོར་,TDC,PH,,
སྐོལ་བ་,བསྐོལ༼ད༽་བ་,བསྐོལ་བ་,སྐོལ༼ད༽་,,,GT,
སྐོལ་བ་,བསྐོལ་བ་,བསྐོལ་བ་,སྐོལ་,TDC,PH,,
སྐྱ་བ་,བསྐྱས་པ་,བསྐྱ་བ་,སྐྱས,,,GT,
སྐྱ་བ་,བསྐྱས་པ་,བསྐྱ་བ་,སྐྱོས,TDC,PH,,
སྐྱད་པ་,བསྐྱད་པ་,བསྐྱད་པ་,སྐྱད་,,,GT,
སྐྱི་བ་,བསྐྱིས་པ་,བསྐྱི་བ་,སྐྱིས་,TDC,PH,GT,
སྐྱི་བ་,བསྐྱིས་པ་,ལབསྐྱི་བ་,སྐྱིས་,,,,KN
སྐྱིག་པ་,བསྐྱིགས་པ་,བསྐྱིག་པ་,སྐྱིགས་,,,GT,
སྐྱིན་པ་,བསྐྱིན༼ད༽་པ་,བསྐྱིན་པ་,སྐྱིན༼ད༽་,,,GT,
སྐྱིལ་བ་,བསྐྱིལ༼ད༽་བ་,བསྐྱིལ་བ་,སྐྱིལ༼ད༽་,,,GT,
སྐྱིལ་བ་,བསྐྱིལ་བ་,བསྐྱིལ་བ་,སྐྱིལ་,TDC,PH,,KN
སྐྱུག་པ་,སྐྱུགས་པ་,སྐྱུག་པ་,སྐྱུགས་,,,GT,
སྐྱུག་པ་,བསྐྱུགས་པ་,བསྐྱུག་པ་,སྐྱུགས་,TDC,PH,GT,KN
སྐྱུང་བ་,བསྐྱུངས་པ་,བསྐྱུང་བ་,སྐྱུངས་,,,,KN
སྐྱུང་བ་,བསྐྱུངས་པ་,བསྐྱུང་བ་,སྐྱུངས་,TDC,PH,GT,
སྐྱུད་པ་,བསྐྱུད་པ་,བསྐྱུད་པ་,,TDC,,,
སྐྱུད་པ་,བསྐྱུད་པ་,བསྐྱུད་པ་,སྐྱུད་,,PH,GT,KN
སྐྱུར་བ་,བསྐྱུར༼ད༽་བ་,བསྐྱུར་བ་,སྐྱུར༼ད༽་,,,GT,
སྐྱུར་བ་,བསྐྱུར་བ་,བསྐྱུར་བ་,སྐྱུར་,TDC,PH,,KN
སྐྱེ་བ་,སྐྱེས་པ་,སྐྱེ་བ་,,,,,KN
སྐྱེ་བ་,སྐྱེས་པ་,སྐྱེ་བ་,,TDC,,,
སྐྱེ་བ་,སྐྱེས་པ་,སྐྱེ་བ་,སྐྱེས་,,PH,GT,
སྐྱེང་པ་,སྐྱེངས་པ་,སྐྱེང་པ་,སྐྱེངས་,,,GT,
སྐྱེང་པ་,བསྐྱེངས་པ་,བསྐྱེང་པ་,སྐྱེངས་,,,GT,
སྐྱེངས་པ་,སྐྱེངས་པ་,སྐྱེངས་པ་,,TDC,PH,,
སྐྱེད་པ་,བསྐྱེད་པ་,བསྐྱེད་པ་,སྐྱེད་,,,,KN
སྐྱེད་པ་,བསྐྱེདཔ་,བསྐྱེད་པ་,སྐྱེད་,TDC,PH,GT,
སྐྱེལ་བ་,བསྐྱལ༼ད༽་བ་,བསྐལ་བ་,སྐྱོལད་༼སྐྱོལ་༽,,,GT,
སྐྱེལ་བ་,བསྐྱལ་བ་,བསྐལ་བ་,སྐྱོལ་,TDC,PH,,
སྐྱེལ་བ་,བསྐྱལ་བ་,བསྐྱལ་བ་,སྐྱོལ་,,,,KN
སྐྱོ་བ་,སྐྱོ་བ་,སྐྱོ་བ་,,TDC,PH,,
སྐྱོ་བ་,སྐྱོ་བ་,སྐྱོ་བ་,སྐྱོ་,,,GT,
སྐྱོག་པ་,བསྐྱོགས་པ་,བསྐྱོག་པ་,སྐྱོགས་,TDC,PH,GT,
སྐྱོང་བ་,བསྐྱངས་པ་,བསྐྱང་བ་,སྐྱོངས་,TDC,PH,GT,KN
སྐྱོད་པ་,བསྐྱོད་པ་,བསྐྱོད་པ་,,TDC,,,
སྐྱོད་པ་,བསྐྱོད་པ་,བསྐྱོད་པ་,སྐྱོད་,TDC,PH,GT,KN
སྐྱོན་པ་,སྐྱོན༼ད༽་པ་,སྐྱོན་པ་,སྐྱོན༼ད༽་,,,GT,
སྐྱོན་པ་,བསྐྱོན༼ད༽་པ་,བསྐྱོན་པ་,སྐྱོན༼ད༽་,,,GT,
སྐྱོན་པ་,བསྐྱོན་པ་,བསྐྱོན་པ་,སྐྱོན་,TDC,PH,,
སྐྱོན་པ་,བསྐྱོན་པ་,ལབསྐྱོན་པ་,སྐྱོན་,,,,KN
སྐྱོབ་པ་,བསྐྱབས་པ་,བསྐྱབ་པ་,སྐྱོབས་,TDC,PH,GT,KN
སྐྱོམ་པ་,བསྐྱམས་པ་,བསྐྱམ་པ་,སྐྱོམས་,,,,KN
སྐྱོམ་པ་,བསྐྱམས་པ་,བསྐྱམ་པ་,སྐྱོམས་,TDC,PH,GT,
སྐྱོར་བ་,བསྐྱར༼ད༽་བ་,བསྐྱར་བ་,སྐྱོར༼ད༽་,,,GT,
སྐྱོར་བ་,བསྐྱར་བ་,བསྐྱར་བ་,སྐྱོར་,TDC,PH,,KN
སྐྱོར་བ་,བསྐྱོར༼ད༽་བ་,བསྐྱོར་བ་,སྐྱོར༼ད༽་,,,GT,
སྐྱོར་བ་,བསྐྱོར་བ་,བསྐྱོར་བ་,སྐྱོར་,TDC,PH,,
སྐྲག་པ་,སྐྲག་པ་,སྒྲག་པ་,,TDC,,,
སྐྲག་པ་,སྐྲགས་པ་,སྒྲག་པ་,སྐྲགས་,,PH,GT,
སྐྲང་བ་,སྐྲངས་པ་,སྐྲང་བ་,,TDC,,,KN
སྐྲང་བ་,སྐྲངས་པ་,སྐྲང་བ་,སྐྲངས་,,PH,GT,
སྐྲང་བ་,བསྐྲངས་པ་,བསྐྲང་བ་,སྐྲངས་,,,GT,
སྐྲབ་པ,བསྐྲབས་པ,བསྐྲབ་པ,སྐྲབས་,,PH,GT,
སྐྲུ་བ་,བསྐྲུས་པ་,བསྐྲུ་བ་,སྐྲུས་,TDC,PH,GT,KN
སྐྲུན་པ་,བསྐྲུན༼ད༽་པ་,བསྐྲུན་པ་,སྐྲུན༼ད༽་,,,GT,
སྐྲུན་པ་,བསྐྲུན་པ་,བསྐྲུན་པ་,སྐྲུན་,TDC,PH,,KN
སྐྲོག་པ་,བསྐྲོགས་པ་,བསྐྲོག་པ་,སྐྲོགས་,TDC,PH,,
སྐྲོད་པ་,བསྐྲད་པ་,བསྐྲད་པ་,སྐྲོད་,TDC,PH,GT,KN
སྐྲོལ་བ་,བསྐྲོལ༼ད༽་བ་,བསྐྲོལ་བ་,སྐྲོལ༼ད༽་,,,GT,
བརྐམ་པ་,བརྐམ་པ་,བརྐམ་པ་,,TDC,PH,,
བསྐལ་བ་,བསྐལ་བ་,བསྐལ་བ་,,TDC,PH,,
ཁུག་པ་,ཁུགས་པ་,ཁུག་པ་,,TDC,PH,,
ཁེག་པ་,ཁེགས་པ་,ཁེག་པ་,,TDC,PH,,
ཁེང་བ་,ཁེངས་པ་,ཁེང་བ་,,TDC,,,KN
ཁེང་བ་,ཁེངས་པ་,ཁེང་བ་,ཁེངས,,PH,GT,
ཁེབས་པ་,ཁེབས་པ་,ཁེབས་པ་,,TDC,PH,,
ཁོམ་པ་,ཁོམ་པ་,ཁོམ་པ་,,TDC,PH,,
ཁྱག་པ་,ཁྱག་པ་,ཁྱག་པ་,ཁྱག,TDC,PH,,
ཁྱག་པ་,ཁྱགས་པ་,ཁྱག་པ་,ཁྱགས,TDC,PH,GT,
ཁྱབ་པ་,ཁྱབ་པ་,ཁྱབ་པ་,,TDC,,,
